slug,platform,ntsc
garry-kitchens-super-battletank-war-in-the-gulf,snes,yes
gemfire,snes,yes
genghis-khan-ii-clan-of-the-gray-wolf,snes,yes
george-foremans-ko-boxing,snes,yes
ghoul-patrol,snes,yes
goal,snes,yes
gods,snes,yes
goof-troop,snes,yes
gp-1,snes,yes
gp-1-part-ii,snes,yes
gradius-iii,snes,yes
the-great-circus-mystery-starring-mickey-and-minnie,snes,yes
the-great-waldo-search,snes,yes
gunforce,snes,yes
hagane-the-final-conflict,snes,yes
hals-hole-in-one-golf,snes,yes
hammerlock-wrestling,snes,yes
hardball-iii,snes,yes
harleys-humongous-adventure,snes,yes
harvest-moon,snes,yes
head-on-soccer,snes,yes
hit-the-ice,snes,yes
home-alone,snes,yes
home-alone-2-lost-in-new-york,snes,yes
home-improvement-power-tool-pursuit,snes,yes
hook,snes,yes
the-hunt-for-red-october,snes,yes
hurricanes,snes,yes
hyper-v-ball,snes,yes
hyperzone,snes,yes
the-ignition-factor,snes,yes
illusion-of-gaia,snes,yes
imperium,snes,yes
incantaion,snes,yes
the-incredible-crash-dummies,snes,yes
the-incredible-hulk,snes,yes
indiana-jones-greatest-adventures,snes,yes
inindo-way-of-the-ninja,snes,yes
inspector-gadget,snes,yes
international-superstar-soccer,snes,yes
international-superstar-soccer-deluxe,snes,yes
international-tennis-tour,snes,yes
the-irem-skins-game,snes,yes
the-itchy-and-scratchy-game,snes,yes
izzys-quest-for-the-olympic-rings,snes,yes
jrr-tolkiens-the-lord-of-the-rings-vol-i,snes,yes
jack-nicklaus-golf,snes,yes
james-bond-jr,snes,yes
jammit,snes,yes
jeopardy,snes,yes
jeopardy-deluxe-edition,snes,yes
jeopardy-sports-edition,snes,yes
the-jetsons-invasion-of-the-planet-pirates,snes,yes
jim-lees-wildcats-covert-action-teams,snes,yes
jim-power-the-lost-dimension-in-3d,snes,yes
jimmy-connors-pro-tennis-tour,snes,yes
jimmy-houstons-bass-tournament-usa,snes,yes
joe-and-mac,snes,yes
joe-and-mac-2-lost-in-the-tropics,snes,yes
john-madden-football,snes,
john-madden-football-93,snes,
judge-dredd,snes,yes
the-jungle-book,snes,yes
jungle-strike,snes,yes
jurassic-park,snes,yes
jurassic-park-2-the-chaos-continues,snes,yes
justice-league-task-force,snes,yes
ka-blooey,snes,yes
kawasaki-caribbean-challenge,snes,yes
kawasaki-superbike-challenge,snes,yes
ken-griffey-jr-presents-major-league-baseball,snes,yes
ken-griffey-jrs-winning-run,snes,yes
kendo-rage,snes,yes
kid-kown-in-crazy-chase,snes,yes
killer-instinct,snes,yes
king-arthur-and-the-knights-of-justice,snes,yes
king-arthurs-world,snes,yes
the-king-of-dragons,snes,yes
king-of-the-monsters,snes,yes
king-of-the-monsters-2,snes,yes
kirby-super-star,snes,yes
kirbys-avalanche,snes,yes
kirbys-dream-course,snes,yes
kirbys-dream-land-3,snes,yes
knights-of-the-round,snes,yes
krustys-super-fun-house,snes,yes
kyle-pettys-no-fear-racing,snes,yes
lagoon,snes,yes
lamborghini-american-challenge,snes,yes
last-action-hero,snes,yes
the-lawnmower-man,snes,yes
legend,snes,yes
the-legend-of-the-mystical-ninja,snes,yes
the-legend-of-zelda-a-link-to-the-past,snes,yes
lemmings,snes,yes
lemmins-2-the-tribes,snes,yes
lester-the-unlikely,snes,yes
lethal-enforcers,snes,yes
lethal-weapon,snes,yes
liberty-or-death,snes,yes
the-lion-king,snes,yes
lock-on,snes,yes
looney-tunes-b-ball,snes,yes
the-lost-vikings,snes,yes
the-lost-vikings-2,snes,yes
lufia-and-the-fortress-of-doom,snes,yes
lufia-ii-rise-of-the-sinistrals,snes,yes
macs-basic-rifle-marksmanship,snes,
madden-nfl-94,snes,
madden-nfl-95,snes,
madden-nfl-96,snes,
madden-nfl-97,snes,
madden-nfl-98,snes,
magic-boy,snes,
magic-sword,snes,yes
the-magical-quest-starring-mickey-mouse,snes,yes
mario-is-missing,snes,yes
mario-paint,snes,yes
marios-early-years-fun-with-letters,snes,yes
marios-early-years-fun-with-numbers,snes,yes
marios-early-years-preschool-fun,snes,yes
marios-time-machine,snes,yes
mark-davis-the-fishing-master,snes,yes
marvel-super-heroes-war-of-the-gems,snes,yes
mary-shelleys-frankenstein,snes,yes
the-mask,snes,yes
math-blaster-episode-1,snes,yes
maui-mallard-in-cold-shadow,snes,yes
mecarobot-golf,snes,yes
mechwarrior,snes,yes
mechwarrior-3050,snes,yes
mega-man-7,snes,yes
mega-man-soccer,snes,yes
mega-man-x,snes,yes
mega-man-x2,snes,yes
mega-man-x3,snes,yes
metal-combat-falcons-revenge,snes,yes
metal-marines,snes,yes
metal-morph,snes,yes
metal-warriors,snes,yes
michael-andrettis-indy-car-challenge,snes,yes
michael-jordan-chaos-in-the-windy-city,snes,yes
mickey-mania-the-timeless-adventures-of-mickey-mouse,snes,yes
mickeys-ultimate-challenge,snes,yes
micro-machines,snes,yes
might-and-magic-iii-isles-of-terra,snes,yes
mighty-morphin-power-rangers,snes,yes
mighty-morphin-power-rangers-the-movie,snes,yes
mighty-morphin-power-rangers-the-fighting-edition,snes,yes
miracle-piano,snes,
mlbpa-baseball,snes,yes
mohawk-and-headphone-jack,snes,yes
monopoly,snes,yes
mortal-kombat,snes,yes
mortal-kombat-ii,snes,yes
mortal-kombat-3,snes,yes
mr-do,snes,yes
mr-nutz,snes,yes
ms-pac-man,snes,yes
musya,snes,yes
natsume-championship-wrestling,snes,yes
nba-all-star-challenge,snes,yes
nba-give-n-go,snes,yes
nba-hangtime,snes,yes
nba-jam,snes,yes
nba-jam-tournament-edition,snes,yes
nba-live-95,snes,yes
nba-live-96,snes,yes
nba-live-97,snes,yes
nba-live-98,snes,yes
nba-showdown,snes,yes
ncaa-basketball,snes,yes
ncaa-final-four-basketball,snes,yes
ncaa-football,snes,yes
newman-haas-indycar-featuring-nigel-mansell,snes,yes
nfl-football,snes,yes
nfl-quarterback-club,snes,yes
